,,AUR,Comp %,Sales $,Comp %,Comp % (2YR),Comp % (r4W 2YR),Sales Units,Comp %,Comp % (2YR),Comp % (r4W 2YR),In Stock %,In Stock % v LY,In Stock BPS v LW
Hardlines Total,,$10.44,5.5%," $668,801,318 ",-2.4%,30.3%,21.8%," 64,084,747 ",-7.5%,16.8%,5.8%,95.9%,3.9%,-3
025H Total,,$6.78,7.2%," $118,218,962 ",-5.4%,19.4%,16.1%," 17,424,340 ",-11.8%,-2.0%,-5.0%,97.1%,1.1%,-13
025H,025-003-FASTENERS,$3.89,10.0%," $39,649,632 ",-6.6%,17.5%,14.2%," 10,181,627 ",-15.1%,-5.0%,-7.7%,96.9%,0.5%,1
025H,025-004-BUILDER'S HARDWARE,$6.45,6.7%," $25,581,436 ",-5.1%,17.3%,14.3%," 3,965,618 ",-11.1%,1.7%,-0.3%,97.6%,1.2%,-13
025H,025-005-SECURITY/SAFETY,$8.31,-13.9%," $17,585,649 ",-13.8%,17.5%,12.3%," 2,115,588 ",0.2%,2.3%,-4.1%,96.0%,0.8%,-63
025H,025-010-DOOR LOCKS,$27.60,4.2%," $15,460,916 ",6.5%,15.8%,13.8%," 560,250 ",2.2%,3.2%,2.2%,98.4%,5.8%,-16
025H,025-012-PNEUMATIC FASTENERS,$34.57,5.7%," $13,298,776 ",-0.8%,32.1%,29.4%," 384,943 ",-6.1%,10.2%,7.3%,95.6%,0.9%,-3
025H,025-028-COMPRESSORS AND AIR TOOL,$30.71,-5.4%," $6,642,554 ",-8.2%,32.2%,28.8%," 216,314 ",-3.0%,9.5%,7.0%,98.1%,3.7%,-17
025T Total,,$20.90,5.7%," $172,553,647 ",4.1%,34.6%,31.6%," 8,255,640 ",-1.5%,12.2%,10.1%,95.4%,1.5%,5
025T,025-009-PORTABLE POWER,$120.13,2.7%," $63,982,701 ",1.6%,38.0%,34.9%," 532,576 ",-1.1%,24.4%,25.1%,95.3%,8.3%,62
