,,AUR,Comp %,Sales $,Comp %,Comp % (2YR),Comp % (r4W 2YR),Sales Units,Comp %,Comp % (2YR),Comp % (r4W 2YR),In Stock %,In Stock % v LY,In Stock BPS v LW
Hardlines Total,,$10.61,5.8%," $691,188,735 ",-1.4%,24.8%,23.9%," 65,178,020 ",-6.8%,9.5%,4.6%,96.0%,3.8%,12
025H Total,,$6.63,4.7%," $116,357,623 ",-7.2%,14.0%,14.7%," 17,560,768 ",-11.3%,-4.7%,-6.2%,97.2%,1.1%,7
025H,025-003-FASTENERS,$3.76,6.6%," $38,787,555 ",-8.5%,10.2%,12.6%," 10,307,721 ",-14.1%,-7.6%,-8.5%,96.9%,0.4%,12
025H,025-004-BUILDER'S HARDWARE,$6.40,5.5%," $25,592,334 ",-5.4%,15.8%,12.0%," 4,000,121 ",-10.3%,1.2%,-1.6%,97.8%,1.2%,-3
025H,025-005-SECURITY/SAFETY,$8.19,-15.5%," $17,377,123 ",-16.7%,9.7%,10.0%," 2,122,099 ",-1.4%,-3.8%,-7.2%,96.6%,1.5%,11
025H,025-010-DOOR LOCKS,$27.74,4.2%," $15,501,165 ",4.9%,15.1%,11.5%," 558,693 ",0.7%,2.5%,0.1%,98.6%,4.6%,8
025H,025-012-PNEUMATIC FASTENERS,$34.91,7.6%," $12,541,673 ",-4.1%,21.7%,30.0%," 359,322 ",-10.9%,0.5%,6.1%,95.6%,1.1%,29
025H,025-028-COMPRESSORS AND AIR TOOL,$30.81,-3.5%," $6,557,774 ",-8.8%,26.7%,32.8%," 212,812 ",-5.4%,3.2%,6.8%,98.3%,3.5%,34
025T Total,,$20.84,4.6%," $167,276,544 ",0.2%,28.6%,35.2%," 8,028,249 ",-4.2%,7.0%,10.0%,95.3%,1.0%,14
025T,025-009-PORTABLE POWER,$115.23,3.0%," $62,199,749 ",-3.7%,32.2%,43.4%," 539,748 ",-6.5%,23.2%,36.1%,94.7%,6.7%,35
025T,025-007-POWER TOOL ACCESSORIES,$12.68,3.9%," $34,392,283 ",-3.2%,17.8%,21.9%," 2,711,696 ",-6.8%,0.9%,3.7%,97.4%,3.6%,15
025T,025-001-HAND TOOLS,$11.52,5.0%," $30,834,400 ",4.0%,23.7%,29.9%," 2,676,503 ",-1.0%,10.9%,15.9%,94.5%,-2.0%,17
025T,025-011-STORAGE DEVICES,$25.62,19.1%," $16,933,904 ",14.7%,66.1%,63.4%," 661,035 ",-3.7%,14.8%,9.9%,93.2%,-0.4%,-6
025T,025-014-WET DRY VACS,$37.76,1.8%," $8,615,736 ",11.5%,27.5%,30.0%," 228,252 ",9.5%,20.0%,19.9%,97.4%,3.4%,-26
025T,025-031-GARAGE/AUTOMOTIVE,$9.91,-1.7%," $6,823,839 ",2.7%,16.8%,18.1%," 688,855 ",4.4%,6.5%,3.5%,93.8%,-2.8%,-11
025T,025-002-FASTENING TOOLS,$9.63,14.1%," $3,363,461 ",-9.6%,15.7%,18.0%," 349,146 ",-20.8%,-8.5%,-6.2%,96.0%,3.0%,0
025T,025-015-SOLDER & WELDING,$16.72,-3.1%," $2,874,213 ",-13.4%,9.5%,15.4%," 171,873 ",-10.6%,1.6%,4.7%,89.2%,-4.6%,75
025T,025-032-TRAILERS,"$1,548.58",21.4%," $1,206,342 ",19.8%,139.4%,90.5%, 779 ,-1.3%,82.4%,48.4%,51.7%,-20.4%,1572
025T,025-006-GENERATORS,$90.34,1.0%," $32,613 ",-20.9%,-8.0%,13.4%, 361 ,-21.7%,5.0%,19.9%,0.0%,0.0%,0
